date,avg_temp,avg_humidity,total_rainfall,avg_pressure,risk
2015-07-12,25.583333333333332,61.916666666666664,2.4000000000000004,1008.5,0
2015-07-13,25.833333333333332,65.20833333333333,6.8,1007.7083333333334,0
2015-07-14,26.125,66.04166666666667,1.5,1006.5416666666666,0
2015-07-15,25.0,69.875,10.2,1005.9166666666666,0
2015-07-16,24.5,69.83333333333333,1.6,1005.4166666666666,0
2015-07-17,24.5,67.29166666666667,0.0,1006.1666666666666,0
2015-07-18,24.5,69.41666666666667,0.9,1007.2916666666666,0
2015-07-19,23.875,69.95833333333333,0.4,1007.875,0
2015-07-20,23.791666666666668,70.58333333333333,0.0,1006.9583333333334,0
2015-07-21,24.333333333333332,70.0,0.0,1006.9166666666666,0
2015-07-22,24.458333333333332,71.375,6.9,1007.7083333333334,1
2015-07-23,24.166666666666668,73.79166666666667,1.9,1008.625,0
2015-07-24,24.125,73.91666666666667,1.1,1010.0416666666666,0
2015-07-25,24.458333333333332,70.125,0.2,1009.5,0
2015-07-26,24.291666666666668,69.625,0.1,1010.0833333333334,0
2015-07-27,24.25,73.16666666666667,9.4,1010.9166666666666,1
2015-07-28,24.333333333333332,69.79166666666667,1.5,1011.1666666666666,0
2015-07-29,25.041666666666668,63.5,0.0,1010.5833333333334,0
2015-07-30,25.041666666666668,64.16666666666667,0.9,1010.4583333333334,0
2015-07-31,24.625,69.29166666666667,7.6,1010.2083333333334,0
2015-08-01,23.75,75.75,1.8,1011.2083333333334,0
2015-08-02,23.458333333333332,76.08333333333333,1.4000000000000001,1011.4166666666666,0
2015-08-03,23.5,76.625,0.6,1010.3333333333334,0
2015-08-04,23.875,72.04166666666667,0.0,1009.375,0
2015-08-05,23.875,68.83333333333333,0.0,1009.3333333333334,0
2015-08-06,24.25,68.45833333333333,0.0,1008.3333333333334,0
2015-08-07,24.458333333333332,69.375,0.9,1008.2916666666666,0
2015-08-08,24.625,68.83333333333333,0.0,1008.0416666666666,0
2015-08-09,23.875,71.91666666666667,0.0,1006.375,0
2015-08-10,24.583333333333332,72.95833333333333,5.2,1006.0,1
2015-08-11,24.625,72.33333333333333,4.0,1007.75,1
2015-08-12,23.833333333333332,74.95833333333333,0.30000000000000004,1009.0,0
2015-08-13,24.083333333333332,73.08333333333333,2.4000000000000004,1008.4166666666666,1
2015-08-14,24.333333333333332,72.58333333333333,0.0,1008.5833333333334,0
2015-08-15,24.958333333333332,70.375,7.2,1009.5833333333334,1
2015-08-16,24.708333333333332,73.29166666666667,7.2,1010.5416666666666,1
2015-08-17,24.791666666666668,74.79166666666667,8.3,1009.2916666666666,1
2015-08-18,25.333333333333332,71.375,2.9000000000000004,1009.4583333333334,1
2015-08-19,25.125,73.54166666666667,7.1000000000000005,1010.4583333333334,1
2015-08-20,24.583333333333332,77.58333333333333,10.2,1011.125,1
2015-08-21,24.583333333333332,78.20833333333333,1.9,1011.25,0
2015-08-22,23.5,80.58333333333333,6.9,1010.2916666666666,1
2015-08-23,23.458333333333332,77.20833333333333,10.7,1010.1666666666666,1
2015-08-24,23.375,75.0,3.8,1010.6666666666666,1
2015-08-25,23.625,73.54166666666667,0.0,1009.8333333333334,0
2015-08-26,23.458333333333332,74.54166666666667,1.3,1008.6666666666666,0
2015-08-27,22.166666666666668,86.625,6.6,1008.5,1
2015-08-28,23.458333333333332,72.875,0.0,1009.2083333333334,0
2015-08-29,24.083333333333332,71.66666666666667,0.9,1009.1666666666666,0
2015-08-30,24.5,69.91666666666667,0.0,1009.7083333333334,0
2015-08-31,24.666666666666668,68.91666666666667,6.3,1010.5,0
2015-09-01,23.166666666666668,79.95833333333333,2.6,1008.6666666666666,1
2015-09-02,25.583333333333332,63.25,0.0,1008.9583333333334,0
2015-09-03,24.958333333333332,72.0,4.5,1010.0,1
2015-09-04,25.458333333333332,72.75,1.1,1011.8333333333334,0
2015-09-05,23.541666666666668,78.25,5.1,1009.4583333333334,1
2015-09-06,23.125,78.83333333333333,4.8,1009.5,1
2015-09-07,21.416666666666668,87.375,6.7,1011.875,1
2015-09-08,21.916666666666668,85.5,1.5,1012.2083333333334,0
2015-09-09,22.791666666666668,81.66666666666667,7.1,1011.4166666666666,1
2015-09-10,22.541666666666668,80.16666666666667,0.30000000000000004,1011.375,0
2015-09-11,22.875,78.875,1.2,1010.9166666666666,0
2015-09-12,23.416666666666668,74.70833333333333,0.0,1010.6666666666666,0
2015-09-13,23.125,75.70833333333333,0.5,1011.125,0
2015-09-14,22.791666666666668,77.875,1.1,1010.1666666666666,0
2015-09-15,20.875,85.83333333333333,0.1,1009.0416666666666,0
2015-09-16,22.208333333333332,79.83333333333333,0.1,1008.5833333333334,0
2015-09-17,22.708333333333332,79.91666666666667,1.7,1008.7083333333334,0
2015-09-18,22.666666666666668,79.33333333333333,1.2000000000000002,1009.1666666666666,0
2015-09-19,22.75,79.375,2.5,1009.125,1
2015-09-20,22.791666666666668,80.20833333333333,2.7,1009.0416666666666,1
2015-09-21,23.291666666666668,70.95833333333333,0.0,1009.0,0
2015-09-22,24.916666666666668,68.04166666666667,0.0,1009.5416666666666,0
2015-09-23,24.958333333333332,73.54166666666667,1.2,1010.875,0
2015-09-24,25.0,76.29166666666667,8.1,1010.2916666666666,1
2015-09-25,25.0,72.95833333333333,8.4,1009.3333333333334,1
2015-09-26,24.708333333333332,73.75,3.6,1009.5416666666666,1
